100 4297 1
1000 45830 1
10000 448408 1
100000 4210536 1
1000000 47852215 1
10000000 556474673 1
100 10109 32
1000 25212 32
10000 50067 32
100000 71523 32
1000000 459253 32
10000000 3223732 32
100 1753 8
1000 2865 8
10000 10025 8
100000 83604 8
1000000 767791 8
10000000 7597253 8
100 1820 8
1000 3072 8
10000 10228 8
100000 82877 8
1000000 770589 8
10000000 7538922 8
10000000 360069712 1
1000000 33064248 1
100000 3279561 1
10000 344142 1
1000 37975 1
100 6920 1
100 2913 16
1000 4024 16
10000 11813 16
100000 83457 16
1000000 772685 16
10000000 7583619 16
100 756 1
1000 4382 1
10000 39837 1
100000 380852 1
1000000 4137583 1
1000000 3949720 1
10000000 40890669 1
